filing_id,ein,pdf_key,job_id,year,name,address,city,state,zip,website,gross_receipts,year_formation,state_of_domicile,mission,num_voting_members,num_independent_members,num_employees,num_volunteers,total_unrelated_biz_revenue,net_unrelated_biz_taxable_revenue,contributions_grants_revenue,program_service_revenue,investment_income_revenue,other_revenue,total_revenue,grants_paid_expenses,benefits_paid_members_expenses,salaries_compensation_benefits_expenses,professional_fundraising_fees_expenses,total_fundraising_expenses,other_expenses,total_expenses,revenue_less_expenses,total_assets,total_liabilities,net_assets,grants_us_govt_orgs_total,grants_us_govt_orgs_prog_service,grants_us_govt_orgs_mgmt_and_general,grants_us_govt_orgs_fundraising,grants_us_individuals_total,grants_us_individuals_prog_service,grants_us_individuals_mgmt_and_general,grants_us_individuals_fundraising,grants_foreign_individuals_govt_orgs_total,grants_foreign_individuals_govt_orgs_prog_service,grants_foreign_individuals_govt_orgs_mgmt_and_general,grants_foreign_individuals_govt_orgs_fundraising,benefits_to_members_total,benefits_to_members_prog_service,benefits_to_members_mgmt_and_general,benefits_to_members_fundraising,compensation_officers_total,compensation_officers_prog_service,compensation_officers_mgmt_and_general,compensation_officers_fundraising,compensation_disq_persons_total,compensation_disq_persons_prog_service,compensation_disq_persons_mgmt_and_general,compensation_disq_persons_fundraising,other_salaries_wages_total,other_salaries_wages_prog_service,other_salaries_wages_mgmt_general,other_salaries_wages_fundraising,pension_plan_acc_contrib_total,pension_plan_acc_contrib_prog_service,pension_plan_acc_contrib_mgmt_general,pension_plan_acc_fundraising,other_employee_benefits_total,other_employee_benefits_prog_service,other_employee_benefits_mgmt_general,other_employee_benefits_fundraising,payroll_taxes_total,payroll_taxes_prog_service,payroll_taxes_mgmt_general,payroll_taxes_fundraising,fees_for_mgmt_services_total,fees_for_mgmt_services_prog_service,fees_for_mgmt_services_mgmt_general,fees_for_mgmt_services_fundraising,fees_for_legal_services_total,fees_for_legal_services_prog_service,fees_for_legal_services_mgmt_general,fees_for_legal_services_fundraising,fees_for_accounting_services_total,fees_for_accounting_services_prog_service,fees_for_accounting_services_mgmt_general,fees_for_accounting_services_fundraising,fees_for_lobbying_services_total,fees_for_lobbying_services_prog_service,fees_for_lobbying_services_mgmt_general,fees_for_lobbying_services_fundraising,fees_for_fundraising_services_total,fees_for_fundraising_services_prog_service,fees_for_fundraising_services_mgmt_general,fees_for_fundraising_services_fundraising,fees_for_investment_mgmt_services_total,fees_for_investment_mgmt_services_prog_service,fees_for_investment_mgmt_services_mgmt_general,fees_for_investment_mgmt_services_fundraising,fees_for_other_services_total,fees_for_other_services_prog_service,fees_for_other_services_mgmt_general,fees_for_other_services_fundraising,advertising_promotion_total,advertising_promotion_prog_service,advertising_promotion_mgmt_general,advertising_promotion_fundraising,office_expenses_total,office_expenses_prog_service,office_expenses_mgmt_general,office_expenses_fundraising,it_expenses_total,it_expenses_prog_service,it_expenses_mgmt_general,it_expenses_fundraising,royalties_total,royalties_prog_service,royalties_mgmt_general,royalties_fundraising,occupancy_total,occupancy_prog_service,occupancy_mgmt_general,occupancy_fundraising,travel_total,travel_prog_service,travel_mgmt_general,travel_fundraising,entertainment_travel_govt_officials_total,entertainment_travel_govt_officials_prog_service,entertainment_travel_govt_officials_mgmt_general,entertainment_travel_govt_officials_fundraising,conferences_conventions_total,conferences_conventions_prog_service,conferences_conventions_mgmt_general,conferences_conventions_fundraising,interest_total,interest_prog_service,interest_mgmt_general,interest_fundraising,payments_affiliates_total,payments_affiliates_prog_service,payments_affiliates_mgmt_general,payments_affiliates_fundraising,depreciation_depletion_amortization_total,depreciation_depletion_amortization_prog_service,depreciation_depletion_amortization_mgmt_general,depreciation_depletion_amortization_fundraising,insurance_total,insurance_prog_service,insurance_mgmt_general,insurance_fundraising,other_expenses_a_label,other_expenses_a_total,other_expenses_a_prog_service,other_expenses_a_mgmt_general,other_expenses_a_fundraising,other_expenses_b_label,other_expenses_b_total,other_expenses_b_prog_service,other_expenses_b_mgmt_general,other_expenses_b_fundraising,other_expenses_c_label,other_expenses_c_total,other_expenses_c_prog_service,other_expenses_c_mgmt_general,other_expenses_c_fundraising,other_expenses_d_label,other_expenses_d_total,other_expenses_d_prog_service,other_expenses_d_mgmt_general,other_expenses_d_fundraising,all_other_expenses_total,all_other_expenses_prog_service,all_other_expenses_mgmt_general,all_other_expenses_fundraising,total_functional_expenses_total,total_functional_expenses_prog_service,total_functional_expenses_mgmt_general,total_functional_expense_fundraising,activities_per_region_totals_number_of_offices,activities_per_region_totals_number_of_employees,activities_per_region_totals_total_expenditure,total_number_recipient_foreign_orgs_listed_as_charities,total_number_other_recipient_foreign_orgs_entities
954781974_2009,954781974,EIN_954781974_YEAR_2009_FORMTYPE_990.pdf,,2009,LA VOICE,760 S WESTMORELAND AVE No STE 33,LOS ANGELES,CA,90005,www.lavoicepico org,480213,2000,CA,UNITE CONGREGATIONS AND TRAIN VOLUNTEER COMMUNITY LEADERS TO ADVOCATE FOR CHANGES IN THE PUBLIC SPHERE THAT IMPROVE THE QUALITY OF LIFE FOR EVERYONE,17,0,5,0,0,0,455656,0,29,24528,480213,0,0,244615,0,33660,137477,382092,98121,207928,0,207928,,,,,,,,,,,,,,,,,,,,,,,,,207459,151535,27962,27962,4739,3285,727,727,17105,11859,2623,2623,15312,10616,2348,2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53791,40344,13447,,18838,18838,,,,,,,17222,12916,4306,,,,,,,,,,,,,,,,,,PROGRAM EXPENSE,22108,17756,4352,,OUTSIDE SERVICES,12199,9149,3050,,INSURANCE,6659,4994,1665,,AUTO EXPENSE,5225,3919,1306,,1435,1076,359,,382092,286287,62145,33660,,,,,
954781974_2010,954781974,EIN_954781974_YEAR_2010_FORMTYPE_990.pdf,,2010,LA Voice,760 s Westmoreland Ave,Los Angeles,CA,90005,www.lavoicepico.or,384082,2000,CA,"It is our mission to transform Los Angeles into a city that reflects the human dignity of all communities, especially those in greatest ne We are an interfaith, community organization that unites people from diverse backgrounds to improve the quality of life of LA residents",6,6,4,,0,,351522,0,29,32174,384082,0,0,192770,0,33112,219873,412643,-28561,179367,0,179367,0,,,,0,,,,0,,,,0,,,,53114,26557,13279,13278,0,,,,104659,82663,10998,10998,5399,2917,1241,1241,16435,8881,3777,3777,13163,7113,3025,3025,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,Travel & Transportation,19087,19087,,,O utside Services,29591,22193,7398,,Organizers (NEC),62178,62178,,,Occupancy Rent/Maint -,28540,21405,7135,,16250,12188,4063,793,412643,315033,64498,33112,,,,,
133694712_2008,133694712,EIN_133694712_YEAR_2008_FORMTYPE_990.pdf,,2008,TOMCHE SHABBOS OF ROCKLAND- TEAM SPIRIT OF ROCKLAND COUNTY,E P o BOX 847,MONSEY,NY,10952,N/A,1398812,,,FOOD DISTRIBUTION TO THE POOR,4,,,90,,0,1267157,38971,3059,89625,1398812,1126041,133231,,,,227130,1486402,-87590,575071,,575071,,,,,1126041,1126041,,,,,,,,,,,,,,,,,,,106233,,106233,,,,,,26998,,26998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33454,33454,,,,,,,,,,,,,,,,,,,,,,,6553,6553,,,,,,,PRINTING AND PUBLICATIONS,48099,48099,,,CATERING,29714,,,29714,ADVERTISING c,15210,15210,,,UTILITIES d,13469,13469,,,13122,13122,,10670,1486402,1312787,133231,40384,,,,,
133694712_2009,133694712,EIN_133694712_YEAR_2009_FORMTYPE_990.pdf,,2009,TOMCHE SHABBOS OF ROCKLAND- TEAM SPIRIT OF ROCKLAND COUNTY,P O BOX 847,MONSEY,NY,10952,N/A,1602351,,,THE ORGANIZATION WAS ESTABLISHED TO RAISE FUNDS AND TO PROVIDE HUMANITARIAN AID TO POOR PEOPLE IN THE COMMUNITY.,4,4,0,,,0,1480588,14000,513,107250,1602351,1195074,,156064,,,183684,1534822,67529,642600,,642600,,,,,1195074,1195074,,,,,,,,,,,,,,,,,,,125900,,125900,,,,,,30164,,30164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30560,30560,,,,,,,,,,,,,,,,,,,,,,,6554,6554,,,,,,,CATERING a,26783,,,26783,Printing and Publications b,25996,25996,,,Postage and Shipping,13906,13906,,,UTILITIES,12328,12328,,,10905,10905,,3175,1534822,1348800,064,29958,,,,,
133694712_2010,133694712,EIN_133694712_YEAR_2010_FORMTYPE_990.pdf,,2010,TOMCHE SHABBOS OF ROCKLAND- TEAM SPIRIT OF ROCKLAND COUNTY,P o BOX 847,MONSEY,NY,10952,,1756474,,,THE ORGANIZATION WAS ESTABLISHED TO RAISE FUNDS AND TO PROVIDE HUMANITARIAN AID TO POOR PEOPLE IN THE COMMUNITY,4,4,0,,0,,1665496,4000,728,86250,1756474,1338646,0,170834,1800,32289,208160,1719440,37034,679634,0,679634,,,,,1338646,1338646,,,,,,,,,,,,,,,,,,,129667,,129667,,,,,,41167,,41167,,,,,,,,,,,,,,,,,,,,,,1800,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,26213,26213,,,,,,,,,,,,,,,,,,,,,,,6553,6553,,,,,,,PRINTING AND PUBLICATIONS,37287,37287,,,CATERING,23900,,,23900,POSTAGE AND SHIPPING,15526,15526,,,SUPPLIES,15187,15187,,,15155,15155,,6589,1719440,1516317,170834,32289,,,,,
222213715_2008,222213715,EIN_222213715_YEAR_2008_FORMTYPE_990.pdf,,2008,THE COOPER FOUNDATION,ONE COOPER PLAZA,CAMDEN,NJ,08103,,10627864,1978,NJ,"THE ORGANIZATION'S PRIMARY EXEMPT PURPOSE IS TO SUPPORT THE CHARITABLE PURPOSES, PROGRAMS AND SERVICES OF THE COOPER HEALTH SYSTEM AND ITS AFFILIATES",31,22,0,100,0,0,4199268,0,150417,0,4349685,3771511,0,0,0,50019,1350957,5122468,-772783,17008851,164245,16844606,3737474,3737474,,,34037,34037,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,115978,104380,11598,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,ADMINISTRATIVE EXPENSES a,1184960,1184815,145,,FUNDRAISING EXPENSES,50019,,,50019,c,,,,,d,,,,,,,,,5122468,5060706,11743,50019,,,,,
222213715_2009,222213715,,,2009,THE COOPER FOUNDATION,ONE COOPER PLAZA,CAMDEN,NJ,08103,WWWCOOPERHEALTH ORG,8145766,1978,NJ,"THE ORGANIZATION'S PRIMARY EXEMPT PURPOSE IS TO SUPPORT THE CHARITABLE PURPOSES, PROGRAMS AND SERVICES OF THE COOPER HEALTH SYSTEM AND ITS AFFILIATES",32,22,0,0,0,0,3372571,0,97105,0,3469676,4686184,0,0,0,14308,93352,4779536,-1309860,18893336,216024,18677312,4631939,4631939,,,54245,54245,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,78794,70915,7879,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,0,,,,ADMINISTRATIVE EXPENSES,250,225,25,,FUNDRAISING EXPENSES,14308,,,14308,c,,,,,d,,,,,,,,,4779536,4757324,7904,14308,,,,,
222213715_2010,222213715,EIN_222213715_YEAR_2010_FORMTYPE_990.pdf,,2010,THE COOPER FOUNDATION,ONE COOPER PLAZA,CAMDEN,NJ,08103,www COOPERHEALTH ORG,4449010,1978,NJ,"THE ORGANIZATION'S PRIMARY EXEMPT PURPOSE IS TO SUPPORT THE CHARITABLE PURPOSES, PROGRAMS AND SERVICES OF THE COOPER HEALTH SYSTEM AND ITS AFFILIATES",34,20,0,0,0,0,3617754,0,699736,0,4317490,1587822,0,0,0,41429,2946039,4533861,-216371,20838773,940194,19898579,1548391,1548391,,,39431,39431,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,92187,82968,9219,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,PARENT COMPANY EXP REIMBURS a,2812423,2812423,0,0,FUNDRAISING EXPENSES,41429,0,0,41429,c,,,,,d,,,,,,,,,4533861,4483213,9219,41429,,,,,
202913418_2020,202913418,EIN_202913418_YEAR_2020_FORMTYPE_990.pdf,,2020,Love in Action,PO Box 6371,,AK,99901,www.liaktn.org,247261,2005,AK,"TO ORGANIZE AND COORDINATE CHURCHES IN THE KETCHIKAN COMMUNITY TO RESPOND TO INDIVIDUAL, FAMILY, AND PROJECT NEEDS IN THE NAME OF CHRIST.",3,4,5,6,0,0,240297,0,14,5079,245376,0,0,50117,0,0,157578,207695,37681,47480,0,47480,,,,,,,,,,,,,,,,,,,,,,,,,46110,46110,,,1413,1413,,,,,,,2594,2594,,,,,,,,,,,1200,1200,,,,,,,,,,,,,,,,,,,,,,,3398,3398,,,,,,,,,,,6807,6807,,,732,732,,,,,,,,,,,,,,,,,,,225,,225,,1745,1745,,,Client Assistance,137622,137622,,,Utilities,5140,5140,,,Volunteer Appreciation c,699,699,,,Licenses,10,10,,,,,,,207695,207470,225,0,,,,,
570968725_2009,570968725,EIN_570968725_YEAR_2009_FORMTYPE_990.pdf,,2009,Palmetto Family Council,PO Box 11953,Columbia,SC,29211,www Palmettofamily org,1043455,,,Dissemination of publications for the purpose of education and helping individuals to become better citizens and to strenghen family relationships,22,0,9,,0,,1011875,0,0,25539,1037414,0,0,430387,0,64258,594191,1024578,12836,64133,5968,58165,0,,,,0,,,,0,,,,0,,,,86400,61344,14256,10800,0,,,,259024,183907,42739,32378,0,,,,57776,41021,9533,7222,27187,19303,4486,3398,0,,,,1018,723,168,127,606,430,100,76,0,,,,0,,,,0,,,,21373,15174,3527,2672,0,,,,0,,,,0,,,,0,,,,19171,13612,3163,2396,4614,3276,761,577,0,,,,0,,,,0,,,,0,,,,0,,,,463,329,76,58,Telecommunications,7026,4989,1159,878,Printing and Publications,13708,9732,2262,1714,Postage and Shipping,7169,5090,1183,896,Grant Expenses,510525,510525,,,3501,2485,578,438,1024578,875501,84819,64258,,,,,
570968725_2010,570968725,,,2010,Palmetto Family Council,PO Box 11953,Columbia,SC,29211,www Palmettofamily org,688996,,,Dissemination of publications for the purpose of education and helping individuals to become better citizens and to strenghen family relationships,22,22,6,,0,,639445,0,0,38003,677448,0,0,276227,0,,379660,655887,21561,68590,0,68590,0,,,,0,,,,0,,,,0,,,,86400,61344,14256,10800,0,,,,125525,89123,19652,16750,0,,,,49487,35136,7918,6433,14815,10519,2370,1926,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,13354,9623,2137,1594,0,,,,0,,,,0,,,,0,,,,17814,12648,2850,2316,7136,5066,1142,928,0,,,,1462,1038,234,190,,,,,0,,,,0,,,,368,261,59,48,Telecommunications,6083,4319,973,791,CBAE Subcontractors,207651,207651,,,CBAE Personnel,14479,14479,,,CBAE Grant Expense,66064,66064,,,18982,18982,2701,2184,655887,557635,54292,43960,,,,,
541436224_2009,541436224,,943331163523243157414141034461752983,2009,"Mercatus Center, Inc.",3301 North Fairfax Drive 450,Arlington,VA,22201,www.mercatus.org,7890227,1994,VA,The Center educates students and is an organization that uses sound interdisciplinary research and,8,8,73,0,0,0,7837975,,12309,15200,7865484,2352502,,4431397,,564779,2820558,9604457,,4873928,4231717,642211,2352502,2352502,,,,,,,,,,,,,,,327258,284613,20245,22400,,,,,3632165,3158774,225748,247643,,,,,209921,182673,11577,15671,262053,233100,11669,17284,,,,,,,,,,,,,,,,,,,,,,,,,556353,481726,41570,33057,3354,3354,,,490656,304040,13494,173122,,,,,4857,,,4857,411984,358426,24719,28839,411984,211783,24719,28839,,,,,519995,513856,4431,1708,519995,,4431,1708,,,,,135244,117663,8114,9467,12351,10745,741,865,below) Honoraria a,423607,419006,307,4294,Honoraria a b Miscellaneous,423607,419006,307,4294,Software c,15908,13912,919,1077,Software c Property taxes d,15908,13912,919,1077,3044,2816,228,,9604457,8671780,367898,564779,,,,,
541436224_2010,541436224,EIN_541436224_YEAR_2010_FORMTYPE_990.pdf,,2010,"Mercatus Center, Inc.",3301 North Fairfax Drive 450,Arlington,VA,22201,www.mercatus.org,8161562,1994,VA,The Center educates students and is an organization that uses sound interdisciplinary research and,8,8,64,0,0,0,8042253,,8996,24488,8075737,1047675,4006588,,,684072,2669711,7723974,351763,4691315,3691905,999410,1047675,1047675,,,,,,,,,,,,,,,288863,249331,15632,23900,,,,,3292576,2849110,174517,268949,,,,,182589,148749,14429,19411,242560,206137,16195,20228,,,,,,,,,25555,,25555,,,,,,,,,,,,,,242030,233842,,8188,5779,5779,,,521052,242088,11376,267588,,,,,6335,,,6335,413614,351572,20681,41361,173032,164850,2274,5908,,,,,248098,243242,1937,2919,,,,,,,,,146255,124317,7312,14626,12753,10840,638,1275,Honoraria a,644659,644594,65,,Miscellaneous b,214376,155519,56414,2443,Property taxes c,8223,6990,411,822,Software d,7038,6948,,90,912,883,,29,7723974,6692466,347436,684072,,,,,
521645262_2009,521645262,EIN_521645262_YEAR_2009_FORMTYPE_990.pdf,,2009,JUBILEE CAMPAIGN USA INC,9689 MAIN STREET,FAIRFAX,VA,22031,,187334,1991,VA,International Religious Freedom and Advocacy,14,14,1,9,0,,187226,0,108,0,187334,79079,0,64590,0,6645,73236,216905,-29571,47886,64,47859,,,,,1440,1440,,,77639,77639,,,,,,,,,,,,,,,60000,60000,0,0,,,,,,,,,4590,4590,0,0,,,,,1590,1090,500,0,7200,0,7200,0,,,,,,,,,,,,,2931,1590,-290,1631,,,,,1528,1473,55,0,1195,1195,0,0,,,,,,,,,11226,11226,0,0,,,,,1054,1054,0,0,,,,,,,,,230,0,230,0,5860,5860,0,0,Bank Charges a,793,303,490,0,Dues,1950,1950,0,0,Education c,6000,6000,0,0,Postage,5116,2848,80,2188,13213,9489,898,2826,216905,201004,9256,6645,,,,3,
521645262_2010,521645262,EIN_521645262_YEAR_2010_FORMTYPE_990.pdf,,2010,"Jubilee Campaign USA, Inc.",,Fairfax,VA,22031,www.jubileecampaign.org,216999,1991,VA,International Religious Freedom and Advocacy,3,4,5,6,0,,216932,,67,,216999,71486,,19736,,3521,55913,147135,69864,270487,27,118570,,,,,,,,,71486,71486,,,,,,,,,,,,,,,18333,18333,0,0,,,,,,,,,1403,1403,0,0,,,,,5516,5416,100,0,6405,0,6405,0,,,,,,,,,,,,,2602,2075,0,527,,,,,5019,4805,214,0,2794,2794,0,0,,,,,,,,,11837,11837,0,0,,,,,1269,1269,0,0,,,,,,,,,1010,366,644,0,701,701,0,0,Bank Charges,752,587,165,0,Dues,2150,2150,0,0,Telephone,2226,2138,88,0,Postage,5515,4512,384,619,7654,4891,388,2375,147135,135226,8388,3521,0,0,65215,,
113355081_2009,113355081,,,2009,Rofeh Cholim Cancer Society Inc,762 bedford avenue,brooklyn,NY,11205,,4157694,1997,NY,"The organization has been established to help ease in part, the difficulties of the suffering and their families by providing financial support to furnish insurance coverage, medical referrals to specialists, physicians and hospitals, emotional support and health the means and competence and guidelines of the organization awareness seminars No supplicant beseeching the organization for this assistance will be refused provided that provision is within",21,21,35,700,0,0,2743248,0,0,472295,3215543,0,0,993863,0,339848,2129857,3123720,91823,1422723,114065,1308658,,,,,,,,,,,,,,,,,220618,119134,57360,44124,,,,,520614,281131,135360,104123,,,,,56950,30753,14807,11390,195681,105668,50877,39136,,,,,806,,806,,22000,,22000,,,,,,,,,,,,,,152505,96693,2812,53000,118026,64865,25946,27215,92863,30804,20332,41727,,,,,,,,,36646,19789,9528,7329,18308,9886,4760,3662,,,,,52553,,52553,,,,,,,,,,16002,8641,4161,3200,12404,6698,3225,2481,patient medical expense,1596007,1596007,,,miscellaneous,7946,4291,2066,1589,production costs,3791,2085,834,872,d,,,,,,,,,3123720,2376445,407427,339848,,,,,
113355081_2010,113355081,EIN_113355081_YEAR_2010_FORMTYPE_990.pdf,,2010,ROFEH CHOLIM CANCER SOCIETY INC,762 BEDFORD AVENUE,BROOKLYN,NY,11205,WWWROFEHCHOLIM ORG,4709028,1997,NY,SEE SCHEDULE o,21,21,43,21,0,0,3104056,0,0,787473,3891529,0,0,1018103,0,372450,2464588,3482691,408838,1929628,212132,1717496,,,,,,,,,,,,,,,,,199691,113824,45929,39938,,,,,573070,326651,131805,114614,,,,,39389,22452,9059,7878,205953,117393,47369,41191,,,,,,,,,23000,,23000,,,,,,,,,,,,,,151105,98105,,53000,165137,63258,21244,80635,79457,53485,13798,12174,,,,,,,,,67458,38451,15516,13491,10560,6019,2429,2112,,,,,6778,,6778,,,,,,,,,,15782,8996,3630,3156,21304,12143,4900,4261,PATIENT MEDICAL EXPENSE,1924007,1924007,,,b,,,,,C,,,,,d,,,,,,,,,3482691,2784784,325457,372450,,,,,
900386790_2019,900386790,EIN_900386790_YEAR_2019_FORMTYPE_990.pdf,,2019,Toolbank USA Inc,"3800 Camp Creek Parkway Room 118 Atlanta, GA 303316247",,GA,16247,www.Toolbank.org,1210908,2008,GA,Toolbank USA strengthens communities through the collaborative establishment of Toolbanks across the US and the provisions of infrastructure support to promote consistency and excellence for all local Toolbanks.,3,4,5,6,0,,1197874,13000,51,0,1210908,0,0,401774,0,108992,645761,1047535,163373,1313288,11668,1301620,0,,,,0,,,,0,,,,0,,,,401774,277224,56248,68302,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,7385,,7385,,0,,,,,,,,0,,,,0,,,,29489,20348,4128,5013,89926,62049,12590,15287,91634,91634,,,0,,,,51537,41230,7731,2577,63644,43914,8910,10819,0,,,,0,,,,0,,,,0,,,,98652,78921,14798,4933,14816,11853,2222,741,Direct Program Costs,174436,174436,,,Dues Subscriptions,23344,18675,3502,1167,Training Professional Development,898,619,126,153,d,,,,,0,,,,1047535,820903,117640,108992,,,,,
310536647_2009,310536647,EIN_310536647_YEAR_2009_FORMTYPE_990.pdf,,2009,Cedarville University,251 North Main Street,Cedarville,OH,48501,www cedarville edu,98452689,1887,OH,"THE University is a Christ-centered community, equipping students for THE FUTURE",29,25,2808,23,0,0,8661901,79033504,-2198918,-8640,85487847,14239259,0,41075626,0,2567107,31231442,86546327,-1058480,128177326,29056069,99121257,,,,,14239259,14239259,,,,,,,,,,,2309056,559148,1606096,143812,,,,,25711613,22832187,,849731,2428523,2151527,183405,93591,8438220,7331063,643238,463919,2188214,1851164,258484,78566,,,,,644754,,644754,,21950,-1100,23050,,,,,,,,,,,,,,,,,,274834,110447,99391,64996,6734203,5662966,547147,524090,136948,100294,25027,11627,9831,,9831,,6547339,5788382,758957,,1655334,1270003,262297,123034,,,,,1408755,1192916,127997,87842,780930,780930,,,,,,,5797325,5281321,516004,,779597,1772,777825,,contracted services,4962046,4793158,130867,38021,dues/subscriptions,430097,150428,198084,81585,c,,,,,d,,,,,1047499,722739,318467,6293,86546327,74818604,9160616,2567107,,,,,
310536647_2010,310536647,EIN_310536647_YEAR_2010_FORMTYPE_990.pdf,,2010,Cedarville University,251 North Main Street,Cedarville,OH,48501,www.cedarville edu,102927034,1887,OH,"The University IS a Christ-centered community, equipping students for the future",29,26,2898,42,0,0,10295799,82334289,1211697,31334,93873119,17421945,0,41588904,3568,2934053,32988477,92002894,1870225,131846092,28303961,103542131,,,,,17421945,17421945,,,,,,,,,,,1526842,140322,1225707,160813,239965,182197,57768,,28505237,24894462,2535661,1075114,2048649,1884890,116842,46917,7011383,6559691,307429,144263,2256828,2064104,144232,48492,,,,,642495,90725,551770,,53440,13588,39852,,,,,,3568,,,3568,148205,,148205,,4300532,4217739,73280,9513,400320,234080,23679,142561,4986298,3565806,841497,578995,576487,543065,25383,8039,4277,96,4181,,4393263,3512858,699557,180848,1820316,1336764,278343,205209,,,,,1090351,934577,101134,54640,334277,262195,53945,18137,,,,,4936687,4205208,547430,184049,950024,1892,948132,,Aux Enterprises,6779286,6779286,,,Tuition paid to another,986607,986607,,,Dues/Memberships c,416154,230632,112627,72895,Bad Debts,169458,,169458,,,,,,92002894,80062729,9006112,2934053,,,,,
232223022_2009,232223022,,,2009,,,+ 4 tions. DREXEL HILL,PA,19026,WWW.AMNIONSUPPORT.ORG,556714,1982,PA,"' The mission of Amnion is to provide information, spiritual guidance, emotional support, and practical assistance to women facing unplanned pregnancy and / or who are in crisis over a previous abortion.",,,,,15995,-765,540692,,27,15995,556714,,,392315,,67194,202560,594875,-38161,278975,92081,186894,,,,,,,,,,,,,,,,,97440,62362,24360,10718,,,,,248545,160733,62229,25583,632,409,158,65,20902,13545,5235,,24796,15993,6206,2597,,,,,,,,,7864,0,7864,0,,,,,,,,,,,,,,,,,5367,4025,1342,0,5647,565,2823,2259,,,,,,,,,60835,39238,15226,6371,,,,,,,,,264,264,0,0,,3961,2641,0,,,,,15449,9269,4635,1545,13753,8871,3442,1440,Abstinence a program,156,148,8,0,Bank Charges,58,0,58,0,c,,,,,Client Support,833,833,0,0,10831,5924,3220,1687,594875,356445,171236,67194,,,,,
362428692_2008,362428692,,,2008,,1 East Bode Rd,Streamwood,IL,60107,a com,527,,,,990,,,,,,,2874687,,,69748,,,,-67,,,,,,19439766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362428692_2009,362428692,EIN_362428692_YEAR_2009_FORMTYPE_990.pdf,,2009,Awana Clubs International,1 East Bode Rd,Streamwood,IL,60107,www awana org,41653707,1965,IL,Christian Youth Ministry,13,11,371,2100,0,0,9815647,3136204,-66852,19707662,32592661,5868059,0,16336775,0,771103,8940567,31145401,1447260,19019747,4202823,14816924,5862059,5862059,,,6000,6000,,,,,,,,,,,748907,224672,449344,74891,,,,,12269415,10536718,,228394,183700,128698,36668,18334,2506419,2099300,353792,53327,628334,482161,124498,21675,,,,,310258,,310258,,44729,4473,35783,4473,,,,,,,,,,,,,279450,206434,56265,16751,287911,266992,14928,5991,1121681,1019300,59005,43376,,,,,7286,7286,,,717711,508086,173845,35780,1360191,1311560,42199,6432,,,,,13612,13532,53,27,64175,5564,52949,5662,,,,,925748,648024,185149,92575,593278,70,593198,10,FIELD EVENTS,1215286,1211340,3058,888,EQUIPMENT & MAINTENANCE,837252,677370,84446,75436,FEES DUES,413057,173768,160220,79069,IN HOUSE USE OF INVENTO,409571,402367,6801,403,298616,234906,57765,5945,31145401,26060254,4314044,771103,,,,,
